"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
231,",767,52252,299,18.78837,17.76768,17.43968,17.17157,17.05594,19.84399,19.36755,-18.5027,-19.50014,-19.88161,-20.14154,-20.25184,-17.58045,-18.0569,1.02069,1.6168,0.328,0.59611,0.26811,0.11563,0.47644,1.05562,0.57918,2.07631,1.59987,2.40431,1.92787,2.67242,2.19598,2.78805,2.31161,0.06866"
232,",767,52252,356,19.49619,18.21065,17.58332,17.23072,17.03254,20.3783,20.1925,-17.72116,-18.98046,-19.67732,-20.04205,-20.22638,-17.00342,-17.18921,1.28554,2.26547,0.62733,0.97993,0.3526,0.19818,0.1858,0.88211,0.69631,2.16765,1.98185,2.79498,2.60918,3.14758,2.96178,3.34576,3.15996,0.06738"
233,",776,52319,604,19.08901,17.95078,17.49388,17.15975,17.01035,20.0862,19.89914,-17.95458,-19.06303,-19.59124,-19.93413,-20.06661,-17.11129,-17.29835,1.13823,1.92926,0.4569,0.79103,0.33413,0.1494,0.18706,0.99719,0.81013,2.13542,1.94836,2.59232,2.40526,2.92645,2.73939,3.07585,2.88879,0.06214"
234,",783,52325,119,19.07868,17.88245,17.26096,16.90366,16.70779,20.16438,19.71793,-18.26234,-19.43555,-20.11898,-20.48869,-20.66929,-17.33426,-17.78071,1.19623,2.17502,0.62149,0.97879,0.3573,0.19587,0.44645,1.0857,0.63925,2.28193,1.83548,2.90342,2.45697,3.26072,2.81427,3.45659,3.01014,0.07093"
235,",785,52339,361,18.83587,18.01162,17.65904,17.37706,17.33314,19.2986,19.16746,-18.50234,-19.30446,-19.7091,-19.98375,-20.02251,-18.17396,-18.3051,0.82425,1.45881,0.35258,0.63456,0.28198,0.04392,0.13114,0.46273,0.33159,1.28698,1.15584,1.63956,1.50842,1.92154,1.7904,1.96546,1.83432,0.07012"
236,",786,52319,218,19.43493,17.9056,17.1418,16.76782,16.47806,21.36493,21.23273,-17.99915,-19.50749,-20.33212,-20.72282,-20.99675,-16.2327,-16.36491,1.52933,2.66711,0.7638,1.13778,0.37398,0.28976,0.1322,1.93,1.7978,3.45933,3.32713,4.22313,4.09093,4.59711,4.46491,4.88687,4.75467,0.07407"
237,",786,52319,485,19.88777,18.21302,17.4793,17.11916,16.85084,22.48499,21.84515,-17.41243,-19.06268,-19.86501,-20.24552,-20.49496,-14.9847,-15.62455,1.67475,2.76861,0.73372,1.09386,0.36014,0.26832,0.63984,2.59722,1.95738,4.27197,3.63213,5.00569,4.36585,5.36583,4.72599,5.63415,4.99431,0.07003"
238,",788,52338,156,18.76552,17.80573,17.4218,17.24012,17.12651,19.64037,19.56968,-18.22689,-19.15605,-19.61014,-19.78436,-19.8939,-17.49915,-17.56985,0.95979,1.5254,0.38393,0.56561,0.18168,0.11361,0.07069,0.87485,0.80416,1.83464,1.76395,2.21857,2.14788,2.40025,2.32956,2.51386,2.44317,0.06057"
239,",788,52338,177,19.20998,18.03708,17.39666,17.01086,16.83645,20.84332,20.40672,-17.89262,-19.03639,-19.75346,-20.14983,-20.31334,-16.43055,-16.86715,1.1729,2.19912,0.64042,1.02622,0.3858,0.17441,0.4366,1.63334,1.19674,2.80624,2.36964,3.44666,3.01006,3.83246,3.39586,4.00687,3.57027,0.06426"
240,",788,52338,309,19.60792,18.13419,17.43359,17.05829,16.82256,21.00945,20.48833,-17.76316,-19.21439,-19.97787,-20.36495,-20.58848,-16.52416,-17.04528,1.47373,2.54963,0.7006,1.0759,0.3753,0.23573,0.52112,1.40153,0.88041,2.87526,2.35414,3.57586,3.05474,3.95116,3.43004,4.18689,3.66577,0.07202"
241,",789,52342,1,18.69915,17.9275,17.67719,17.44379,17.35628,19.76088,19.27986,-18.28246,-19.02383,-19.33802,-19.55394,-19.64091,-17.35226,-17.83329,0.77165,1.25536,0.25031,0.48371,0.2334,0.08751,0.48102,1.06173,0.58071,1.83338,1.35236,2.08369,1.60267,2.31709,1.83607,2.4046,1.92358,0.05987"
242,",791,52435,562,18.84758,17.78903,17.36027,17.0441,16.92761,20.45631,20.05601,-18.16841,-19.19667,-19.69671,-20.00968,-20.11995,-16.71129,-17.11159,1.05855,1.80348,0.42876,0.74493,0.31617,0.11649,0.4003,1.60873,1.20843,2.66728,2.26698,3.09604,2.69574,3.41221,3.01191,3.5287,3.1284,0.06132"
243,",793,52370,490,19.58831,18.19517,17.5042,17.08277,16.82347,21.34346,21.23657,-17.59032,-18.956,-19.72139,-20.15949,-20.40324,-16.00763,-16.11452,1.39314,2.50554,0.69097,1.1124,0.42143,0.2593,0.10689,1.75515,1.64826,3.14829,3.0414,3.83926,3.73237,4.26069,4.1538,4.51999,4.4131,0.06648"
244,",812,52352,76,19.41282,17.85075,17.09841,16.71901,16.47073,21.95474,21.54991,-17.48771,-19.01545,-19.861,-20.26739,-20.4952,-15.13963,-15.54447,1.56207,2.69381,0.75234,1.13174,0.3794,0.24828,0.40483,2.54192,2.13709,4.10399,3.69916,4.85633,4.4515,5.23573,4.8309,5.48401,5.07918,0.05937"
245,",812,52352,263,18.83183,17.85002,17.5164,17.26551,17.18141,19.77161,19.59144,-18.57124,-19.53269,-19.91433,-20.16024,-20.23628,-17.76238,-17.94255,0.98181,1.56632,0.33362,0.58451,0.25089,0.0841,0.18017,0.93978,0.75961,1.92159,1.74142,2.25521,2.07504,2.5061,2.32593,2.5902,2.41003,0.07203"
246,",816,52379,617,19.68445,17.9085,17.04178,16.63258,16.35158,23.48986,22.91118,-17.11014,-18.84887,-19.8206,-20.25863,-20.52414,-13.51817,-14.09684,1.77595,3.05187,0.86672,1.27592,0.4092,0.281,0.57868,3.80541,3.22673,5.58136,5.00268,6.44808,5.8694,6.85728,6.2786,7.13828,6.5596,0.05715"
247,",817,52381,348,18.76589,17.85753,17.41996,17.08562,16.97452,20.34835,19.81248,-18.1424,-19.01801,-19.53233,-19.85989,-19.96888,-16.71585,-17.25172,0.90836,1.68027,0.43757,0.77191,0.33434,0.1111,0.53587,1.58246,1.04659,2.49082,1.95495,2.92839,2.39252,3.26273,2.72686,3.37383,2.83796,0.05859"
248,",818,52395,343,19.89856,18.35691,17.60916,17.23065,16.95001,21.90419,21.47421,-17.11639,-18.62637,-19.46064,-19.85864,-20.12492,-15.29794,-15.72792,1.54165,2.66791,0.74775,1.12626,0.37851,0.28064,0.42998,2.00563,1.57565,3.54728,3.1173,4.29503,3.86505,4.67354,4.24356,4.95418,4.5242,0.06226"
249,",818,52395,599,18.89593,17.92437,17.50019,17.14007,17.00381,20.38568,19.48458,-18.13508,-19.07672,-19.57124,-19.92906,-20.05798,-16.79596,-17.69706,0.97156,1.75586,0.42418,0.7843,0.36012,0.13626,0.9011,1.48975,0.58865,2.46131,1.56021,2.88549,1.98439,3.24561,2.34451,3.38187,2.48077,0.0617"
250,",819,52409,187,19.85663,18.19847,17.43424,17.06346,16.78299,24.31847,22.84566,-16.82155,-18.44048,-19.31041,-19.71004,-19.97099,-12.56636,-14.03917,1.65816,2.79317,0.76423,1.13501,0.37078,0.28047,1.47281,4.46184,2.98903,6.12,4.64719,6.88423,5.41142,7.25501,5.7822,7.53548,6.06267,0.05412"
251,",820,52438,283,19.56547,17.86741,17.08949,16.72181,16.43328,24.97126,22.50798,-17.2622,-18.92418,-19.80063,-20.19882,-20.46537,-12.05716,-14.52044,1.69806,2.84366,0.77792,1.1456,0.36768,0.28853,2.46328,5.40579,2.94251,7.10385,4.64057,7.88177,5.41849,8.24945,5.78617,8.53798,6.0747,0.05767"
252,",820,52438,393,18.96301,18.01458,17.56604,17.25241,17.12477,20.45398,20.00801,-18.07257,-18.99107,-19.51091,-19.82528,-19.94365,-16.73483,-17.1808,0.94843,1.7106,0.44854,0.76217,0.31363,0.12764,0.44597,1.49097,1.045,2.4394,1.99343,2.88794,2.44197,3.20157,2.7556,3.32921,2.88324,0.0619"
253,",849,52439,591,18.57432,17.60663,17.25251,16.97162,16.88176,19.93254,19.22144,-18.77336,-19.71916,-20.12491,-20.41142,-20.48324,-17.54936,-18.26045,0.96769,1.6027,0.35412,0.63501,0.28089,0.08986,0.7111,1.35822,0.64712,2.32591,1.61481,2.68003,1.96893,2.96092,2.24982,3.05078,2.33968,0.07041"
254,",850,52338,298,18.68429,17.65489,17.1392,16.79604,16.65737,19.97584,19.84253,-18.38275,-19.38268,-19.97126,-20.32768,-20.44753,-17.25074,-17.38406,1.0294,1.88825,0.51569,0.85885,0.34316,0.13867,0.13331,1.29155,1.15824,2.32095,2.18764,2.83664,2.70333,3.1798,3.04649,3.31847,3.18516,0.06294"
255,",851,52376,124,18.2544,17.40737,17.10626,16.8364,16.74644,19.10179,18.91444,-18.48501,-19.29638,-19.67381,-19.93865,-20.0174,-17.77995,-17.9673,0.84703,1.418,0.30111,0.57097,0.26986,0.08996,0.18735,0.84739,0.66004,1.69442,1.50707,1.99553,1.80818,2.26539,2.07804,2.35535,2.168,0.05405"
256,",855,52375,156,24.86633,17.79777,16.9581,16.56007,16.25358,23.80118,22.25384,-12.52506,-19.5712,-20.47714,-20.90582,-21.18554,-13.76245,-15.30979,7.06856,8.30626,0.83967,1.2377,0.39803,0.30649,1.54734,-1.06515,-2.61249,6.00341,4.45607,6.84308,5.29574,7.24111,5.69377,7.5476,6.00026,0.07297"
257,",861,52318,367,19.5067,18.05928,17.37158,17.01511,16.76278,21.2628,20.82515,-17.64402,-19.0633,-19.82693,-20.2201,-20.43697,-16.06154,-16.49919,1.44742,2.49159,0.6877,1.04417,0.35647,0.25233,0.43765,1.7561,1.31845,3.20352,2.76587,3.89122,3.45357,4.24769,3.81004,4.50002,4.06237,0.0657"
258,",864,52320,70,19.90713,18.24566,17.52024,17.17998,16.94031,22.92986,21.97146,-16.74381,-18.36568,-19.19596,-19.57547,-19.78335,-13.92385,-14.88225,1.66147,2.72715,0.72542,1.06568,0.34026,0.23967,0.9584,3.02273,2.06433,4.6842,3.7258,5.40962,4.45122,5.74988,4.79148,5.98955,5.03115,0.05338"
259,",873,52674,53,19.28428,17.8573,17.08986,16.64153,16.32806,20.81813,20.61181,-17.82659,-19.22413,-20.0733,-20.54088,-20.84003,-16.47656,-16.68289,1.42698,2.64275,0.76744,1.21577,0.44833,0.31347,0.20632,1.53385,1.32753,2.96083,2.75451,3.72827,3.52195,4.1766,3.97028,4.49007,4.28375,0.06485"
260,",873,52674,473,19.47528,18.05093,17.38652,17.04733,16.81281,20.78122,20.49871,-17.48006,-18.87171,-19.62199,-19.9756,-20.19757,-16.35505,-16.63755,1.42435,2.42795,0.66441,1.0036,0.33919,0.23452,0.28251,1.30594,1.02343,2.73029,2.44778,3.3947,3.11219,3.73389,3.45138,3.96841,3.6859,0.06048"
261,",874,52338,237,19.06019,18.00987,17.5931,17.25716,17.153,19.96374,19.63491,-17.97127,-18.9917,-19.47844,-19.80708,-19.90855,-17.2175,-17.54633,1.05032,1.80303,0.41677,0.75271,0.33594,0.10416,0.32883,0.90355,0.57472,1.95387,1.62504,2.37064,2.04181,2.70658,2.37775,2.81074,2.48191,0.06169"
262,",880,52367,235,19.35631,17.83165,17.05586,16.66069,16.4162,21.4892,20.94926,-17.35689,-18.843,-19.72333,-20.14671,-20.37258,-15.43042,-15.97035,1.52466,2.69562,0.77579,1.17096,0.39517,0.24449,0.53994,2.13289,1.59295,3.65755,3.11761,4.43334,3.8934,4.82851,4.28857,5.073,4.53306,0.05496"
263,",880,52367,361,19.82949,18.12284,17.35509,16.97913,16.72504,22.74382,22.29415,-16.98972,-18.66014,-19.52635,-19.92621,-20.16451,-14.27534,-14.72502,1.70665,2.85036,0.76775,1.14371,0.37596,0.25409,0.44967,2.91433,2.46466,4.62098,4.17131,5.38873,4.93906,5.76469,5.31502,6.01878,5.56911,0.05743"
264,",882,52370,222,19.60644,18.21042,17.40754,16.96088,16.66751,22.12846,21.13684,-17.44512,-18.81012,-19.69988,-20.17318,-20.44704,-15.11408,-16.1057,1.39602,2.64556,0.80288,1.24954,0.44666,0.29337,0.99162,2.52202,1.5304,3.91804,2.92642,4.72092,3.7293,5.16758,4.17596,5.46095,4.46933,0.06338"
265,",883,52430,97,19.00529,17.97812,17.51381,17.15097,17.01212,20.68172,19.88814,-17.95275,-18.94816,-19.48826,-19.85781,-19.9823,-16.43388,-17.22747,1.02717,1.85432,0.46431,0.82715,0.36284,0.13885,0.79358,1.67643,0.88285,2.7036,1.91002,3.16791,2.37433,3.53075,2.73717,3.6696,2.87602,0.05993"
266,",884,52374,400,20.10258,18.27672,17.44289,17.05228,16.75542,22.05446,22.04142,-17.33285,-19.13753,-20.03435,-20.45236,-20.72484,-15.54964,-15.56268,1.82586,3.0503,0.83383,1.22444,0.39061,0.29686,0.01304,1.95188,1.93884,3.77774,3.7647,4.61157,4.59853,5.00218,4.98914,5.29904,5.286,0.07428"
267,",885,52379,489,19.85596,18.33926,17.57933,17.20469,17.01499,22.24433,22.28284,-17.05453,-18.53709,-19.39006,-19.78941,-19.96118,-14.86037,-14.82185,1.5167,2.65127,0.75993,1.13457,0.37464,0.1897,-0.03851,2.38837,2.42688,3.90507,3.94358,4.665,4.70351,5.03964,5.07815,5.22934,5.26785,0.05964"
268,",886,52381,522,19.91079,18.04473,17.22871,16.8236,16.52366,21.58791,21.99531,-16.79892,-18.62616,-19.54913,-19.98043,-20.26594,-15.3336,-14.92621,1.86606,3.08719,0.81602,1.22113,0.40511,0.29994,-0.4074,1.67712,2.08452,3.54318,3.95058,4.3592,4.7666,4.76431,5.17171,5.06425,5.47165,0.05501"
269,",891,52584,280,19.99917,18.34351,17.49693,17.09577,16.80519,22.64812,22.64674,-17.4293,-19.06354,-19.97401,-20.42416,-20.66927,-14.95046,-14.95184,1.65566,2.9034,0.84658,1.24774,0.40116,0.29058,0.00138,2.64895,2.64757,4.30461,4.30323,5.15119,5.14981,5.55235,5.55097,5.84293,5.84155,0.0741"
270,",894,52615,435,19.35618,17.92706,17.2721,16.90718,16.71405,20.7685,20.63146,-17.82965,-19.23163,-19.95909,-20.35653,-20.51676,-16.58592,-16.72296,1.42912,2.449,0.65496,1.01988,0.36492,0.19313,0.13704,1.41232,1.27528,2.84144,2.7044,3.4964,3.35936,3.86132,3.72428,4.05445,3.91741,0.06658"
271,",900,52637,616,18.95597,17.94978,17.44613,17.1326,16.93725,20.71744,20.18708,-17.59546,-18.56123,-19.16098,-19.48009,-19.66525,-16.0095,-16.53987,1.00619,1.82337,0.50365,0.81718,0.31353,0.19535,0.53036,1.76147,1.23111,2.76766,2.2373,3.27131,2.74095,3.58484,3.05448,3.78019,3.24983,0.05046"
272,",904,52381,151,19.39163,17.91261,17.13442,16.73324,16.49789,22.17624,21.78686,-17.91812,-19.37273,-20.22056,-20.63874,-20.86003,-15.30623,-15.6956,1.47902,2.65839,0.77819,1.17937,0.40118,0.23535,0.38938,2.78461,2.39523,4.26363,3.87425,5.04182,4.65244,5.443,5.05362,5.67835,5.28897,0.07042"
273,",909,52379,130,18.877,17.98049,17.59195,17.31376,17.22426,19.77139,19.8916,-18.04513,-18.90942,-19.37153,-19.64226,-19.72788,-17.30028,-17.18007,0.89651,1.56324,0.38854,0.66673,0.27819,0.0895,-0.12021,0.89439,1.0146,1.7909,1.91111,2.17944,2.29965,2.45763,2.57784,2.54713,2.66734,0.05878"
274,",909,52379,550,18.57711,17.60139,17.15743,16.85747,16.7119,20.08329,19.39402,-18.09183,-19.02975,-19.56128,-19.8592,-19.99853,-16.74929,-17.43855,0.97572,1.71964,0.44396,0.74392,0.29996,0.14557,0.68927,1.50618,0.81691,2.4819,1.79263,2.92586,2.23659,3.22582,2.53655,3.37139,2.68212,0.05288"
275,",910,52377,162,18.8274,17.8651,17.48985,17.18498,17.04937,20.3422,19.44305,-18.48832,-19.42782,-19.85716,-20.17,-20.28596,-17.11056,-18.00971,0.9623,1.64242,0.37525,0.68012,0.30487,0.13561,0.89915,1.5148,0.61565,2.4771,1.57795,2.85235,1.9532,3.15722,2.25807,3.29283,2.39368,0.06951"
276,",911,52426,562,19.8627,18.32636,17.55941,17.26037,16.95427,18.16012,17.76711,-16.86421,-18.36234,-19.23262,-19.57148,-19.84675,-18.77138,-19.16438,1.53634,2.60233,0.76695,1.06599,0.29904,0.3061,0.39301,-1.70258,-2.09559,-0.16624,-0.55925,0.60071,0.2077,0.89975,0.50674,1.20585,0.81284,0.05525"
277,",916,52378,23,18.27744,17.46836,17.09458,16.77344,16.64088,19.2429,18.89536,-18.66805,-19.44549,-19.89103,-20.23862,-20.33268,-17.84972,-18.19727,0.80908,1.504,0.37378,0.69492,0.32114,0.13256,0.34754,0.96546,0.61792,1.77454,1.427,2.14832,1.80078,2.46946,2.12192,2.60202,2.25448,0.05933"
278,",917,52400,640,19.93483,18.33839,17.58326,17.20534,16.92107,21.78746,21.41716,-16.82572,-18.38472,-19.24078,-19.66381,-19.91102,-15.17448,-15.54477,1.59644,2.72949,0.75513,1.13305,0.37792,0.28427,0.3703,1.85263,1.48233,3.44907,3.07877,4.2042,3.8339,4.58212,4.21182,4.86639,4.49609,0.056"
279,",918,52404,460,19.72075,18.07259,17.25891,16.8869,16.60164,22.4916,21.68365,-16.99748,-18.60702,-19.52706,-19.95253,-20.19587,-14.43768,-15.24563,1.64816,2.83385,0.81368,1.18569,0.37201,0.28526,0.80795,2.77085,1.9629,4.41901,3.61106,5.23269,4.42474,5.6047,4.79675,5.88996,5.08201,0.0552"
280,",918,52404,462,18.59279,17.65549,17.33163,17.10497,16.99986,19.52826,19.13938,-18.23808,-19.14149,-19.53934,-19.77813,-19.85633,-17.44617,-17.83505,0.9373,1.48782,0.32386,0.55052,0.22666,0.10511,0.38888,0.93547,0.54659,1.87277,1.48389,2.19663,1.80775,2.42329,2.03441,2.5284,2.13952,0.05631"
281,",921,52380,87,18.91974,17.75492,17.05528,16.64871,16.41134,21.61161,21.56593,-18.37208,-19.51231,-20.27981,-20.75521,-20.92411,-15.84723,-15.89291,1.16482,2.27103,0.69964,1.10621,0.40657,0.23737,0.04568,2.69187,2.64619,3.85669,3.81101,4.55633,4.51065,4.9629,4.91722,5.20027,5.15459,0.0697"
282,",922,52426,98,18.29461,17.33103,16.80672,16.4565,16.2982,19.6282,19.27743,-19.13198,-20.07517,-20.65286,-21.06736,-21.15472,-17.94396,-18.29473,0.96358,1.83811,0.52431,0.87453,0.35022,0.1583,0.35077,1.33359,0.98282,2.29717,1.9464,2.82148,2.47071,3.1717,2.82093,3.33,2.97923,0.07325"
283,",927,52577,485,19.1185,17.97547,17.56626,17.27385,17.19181,20.29903,19.876,-18.05912,-19.17577,-19.64748,-19.95754,-20.01155,-17.0231,-17.44614,1.14303,1.84465,0.40921,0.70162,0.29241,0.08204,0.42303,1.18053,0.7575,2.32356,1.90053,2.73277,2.30974,3.02518,2.60215,3.10722,2.68419,0.06564"
284,",931,52619,530,19.34983,18.14402,17.54999,17.16903,16.96126,21.45454,20.47576,-17.77179,-18.94912,-19.61668,-20.02519,-20.20299,-15.83266,-16.81143,1.20581,2.1808,0.59403,0.97499,0.38096,0.20777,0.97878,2.10471,1.12593,3.31052,2.33174,3.90455,2.92577,4.28551,3.30673,4.49328,3.5145,0.06464"
285,",933,52642,360,18.56826,17.54206,17.08624,16.79579,16.66546,20.37243,19.55502,-18.47041,-19.46672,-19.99404,-20.30095,-20.40662,-16.82018,-17.6376,1.0262,1.77247,0.45582,0.74627,0.29045,0.13033,0.81741,1.80417,0.98676,2.83037,2.01296,3.28619,2.46878,3.57664,2.75923,3.70697,2.88956,0.062"
286,",934,52672,426,18.68204,17.67029,17.16618,16.85268,16.70393,19.71353,19.36749,-18.06604,-19.0413,-19.63304,-19.96548,-20.09017,-17.20395,-17.54999,1.01175,1.82936,0.50411,0.81761,0.3135,0.14875,0.34604,1.03149,0.68545,2.04324,1.6972,2.54735,2.20131,2.86085,2.51481,3.0096,2.66356,0.05491"
287,",936,52705,88,18.92574,18.01246,17.59822,17.2462,17.161,20.17837,19.52653,-17.75289,-18.62871,-19.12836,-19.48703,-19.55562,-16.65951,-17.31135,0.91328,1.67954,0.41424,0.76626,0.35202,0.0852,0.65184,1.25263,0.60079,2.16591,1.51407,2.58015,1.92831,2.93217,2.28033,3.01737,2.36553,0.05301"
288,",944,52614,222,19.11827,18.07646,17.56332,17.23203,17.11245,20.63534,20.41995,-18.14001,-19.15705,-19.73279,-20.06237,-20.17729,-16.77471,-16.9901,1.04181,1.88624,0.51314,0.84443,0.33129,0.11958,0.21539,1.51707,1.30168,2.55888,2.34349,3.07202,2.85663,3.40331,3.18792,3.52289,3.3075,0.06822"
289,",946,52407,22,19.6394,18.22192,17.47853,17.10665,16.89396,20.66933,21.35321,-17.57916,-18.96999,-19.78751,-20.17616,-20.37483,-16.72442,-16.04055,1.41748,2.53275,0.74339,1.11527,0.37188,0.21269,-0.68388,1.02993,1.71381,2.44741,3.13129,3.1908,3.87468,3.56268,4.24656,3.77537,4.45925,0.06774"
290,",948,52428,504,20.36747,18.52718,17.66388,17.25306,16.92848,24.699,24.21351,-17.00701,-18.82433,-19.75588,-20.18838,-20.49618,-12.85077,-13.33626,1.84029,3.11441,0.8633,1.27412,0.41082,0.32458,0.48549,4.33153,3.84604,6.17182,5.68633,7.03512,6.54963,7.44594,6.96045,7.77052,7.28503,0.07253"
291,",948,52428,552,18.96858,18.09687,17.68152,17.38943,17.3119,20.06869,19.69064,-18.49162,-19.34422,-19.80734,-20.09085,-20.1667,-17.52723,-17.90528,0.87171,1.57915,0.41535,0.70744,0.29209,0.07753,0.37805,1.10011,0.72206,1.97182,1.59377,2.38717,2.00912,2.67926,2.30121,2.75679,2.37874,0.07401"
292,",949,52427,28,20.2124,18.48518,17.65043,17.27499,16.97639,25.11362,23.33197,-17.18124,-18.88612,-19.78682,-20.18115,-20.46454,-12.45172,-14.23337,1.72722,2.93741,0.83475,1.21019,0.37544,0.2986,1.78165,4.90122,3.11957,6.62844,4.84679,7.46319,5.68154,7.83863,6.05698,8.13723,6.35558,0.07303"
293,",949,52427,181,19.83787,18.00464,17.11588,16.71665,16.39074,23.93911,22.94934,-17.43328,-19.24069,-20.20575,-20.63058,-20.9383,-13.51686,-14.50663,1.83323,3.12122,0.88876,1.28799,0.39923,0.32591,0.98977,4.10124,3.11147,5.93447,4.9447,6.82323,5.83346,7.22246,6.23269,7.54837,6.5586,0.06961"
294,",950,52378,378,20.03119,18.27679,17.4442,17.06813,16.76943,24.74825,22.79592,-17.4275,-19.16137,-20.05526,-20.44753,-20.73267,-12.87736,-14.82969,1.7544,2.96306,0.83259,1.20866,0.37607,0.2987,1.95233,4.71706,2.76473,6.47146,4.51913,7.30405,5.35172,7.68012,5.72779,7.97882,6.02649,0.07498"
295,",952,52409,229,19.1869,18.12672,17.64108,17.3419,17.14624,20.52436,19.85731,-17.7372,-18.76476,-19.3289,-19.63137,-19.8172,-16.56097,-17.22802,1.06018,1.845,0.48564,0.78482,0.29918,0.19566,0.66705,1.33746,0.67041,2.39764,1.73059,2.88328,2.21623,3.18246,2.51541,3.37812,2.71107,0.05914"
296,",953,52411,409,18.8476,17.87496,17.48495,17.16079,17.04902,19.93789,19.73515,-17.97554,-18.91381,-19.38178,-19.72034,-19.80642,-17.03755,-17.24029,0.97264,1.68681,0.39001,0.71417,0.32416,0.11177,0.20274,1.09029,0.88755,2.06293,1.86019,2.45294,2.2502,2.7771,2.57436,2.88887,2.68613,0.05634"
297,",954,52405,221,18.39211,17.39845,16.99356,16.72331,16.61776,20.08152,19.38104,-18.92915,-19.90005,-20.35989,-20.62594,-20.72511,-17.37929,-18.07976,0.99366,1.6688,0.40489,0.67514,0.27025,0.10555,0.70048,1.68941,0.98893,2.68307,1.98259,3.08796,2.38748,3.35821,2.65773,3.46376,2.76328,0.06976"
298,",954,52405,536,19.78027,18.24531,17.51679,17.1533,16.92098,21.46819,20.90834,-16.81334,-18.30753,-19.1439,-19.53552,-19.74783,-15.33124,-15.89109,1.53496,2.62697,0.72852,1.09201,0.36349,0.23232,0.55985,1.68792,1.12807,3.22288,2.66303,3.9514,3.39155,4.31489,3.75504,4.54721,3.98736,0.05211"
299,",954,52405,555,19.02908,17.97971,17.15122,16.86199,16.15295,18.12381,17.55892,-18.00822,-19.02612,-19.94351,-20.26453,-20.95019,-19.10803,-19.67292,1.04937,2.16709,0.82849,1.11772,0.28923,0.70904,0.56489,-0.90527,-1.47016,0.1441,-0.42079,0.97259,0.4077,1.26182,0.69693,1.97086,1.40597,0.06308"
300,",954,52405,559,19.6746,18.24854,17.47246,17.01825,16.69677,21.74838,21.02859,-17.28022,-18.67308,-19.54048,-20.02393,-20.32323,-15.40007,-16.11985,1.42606,2.65635,0.77608,1.23029,0.45421,0.32148,0.71979,2.07378,1.35399,3.49984,2.78005,4.27592,3.55613,4.73013,4.01034,5.05161,4.33182,0.06081"
301,",957,52398,146,19.07564,17.74285,17.11142,16.70202,16.45885,21.41019,20.63283,-18.1145,-19.42035,-20.12305,-20.54012,-20.77427,-15.94605,-16.72341,1.33279,2.37362,0.63143,1.04083,0.4094,0.24317,0.77736,2.33455,1.55719,3.66734,2.88998,4.29877,3.52141,4.70817,3.93081,4.95134,4.17398,0.06663"
302,",957,52398,622,19.4276,18.30798,17.58928,17.20452,16.96556,20.89039,20.52059,-17.53822,-18.62514,-19.43177,-19.84344,-20.0598,-16.262,-16.63181,1.11962,2.22308,0.7187,1.10346,0.38476,0.23896,0.3698,1.46279,1.09299,2.58241,2.21261,3.30111,2.93131,3.68587,3.31607,3.92483,3.55503,0.06091"
303,",957,52398,624,18.78734,17.78165,17.30131,16.9522,16.82753,19.7,19.33881,-18.535,-19.51769,-20.0558,-20.40974,-20.52177,-17.76857,-18.12976,1.00569,1.83514,0.48034,0.82945,0.34911,0.12467,0.36119,0.91266,0.55147,1.91835,1.55716,2.39869,2.0375,2.7478,2.38661,2.87247,2.51128,0.07"
304,",959,52411,232,19.07574,18.17083,17.64271,17.24769,17.14164,20.79232,20.00876,-18.08187,-18.95943,-19.55625,-19.95267,-20.05195,-16.52259,-17.30615,0.90491,1.82805,0.52812,0.92314,0.39502,0.10605,0.78356,1.71658,0.93302,2.62149,1.83793,3.14961,2.36605,3.54463,2.76107,3.65068,2.86712,0.06543"
305,",960,52466,231,19.08297,17.99911,17.40655,17.02326,16.8106,20.78001,19.7068,-17.45201,-18.49465,-19.18953,-19.58272,-19.78616,-15.94391,-17.01712,1.08386,2.05971,0.59256,0.97585,0.38329,0.21266,1.07321,1.69704,0.62383,2.7809,1.70769,3.37346,2.30025,3.75675,2.68354,3.96941,2.8962,0.05039"
306,",961,52615,369,19.45822,18.20375,17.55945,17.19405,16.99387,21.13608,20.68203,-17.58267,-18.80651,-19.53107,-19.90794,-20.09695,-16.07943,-16.53349,1.25447,2.26417,0.6443,1.0097,0.3654,0.20018,0.45405,1.67786,1.22381,2.93233,2.47828,3.57663,3.12258,3.94203,3.48798,4.14221,3.68816,0.06263"
307,",961,52615,456,18.94415,17.97069,17.61461,17.31736,17.19396,20.41371,19.95036,-17.67943,-18.61465,-19.05482,-19.34013,-19.46214,-16.36222,-16.82556,0.97346,1.62679,0.35608,0.65333,0.29725,0.1234,0.46335,1.46956,1.00621,2.44302,1.97967,2.7991,2.33575,3.09635,2.633,3.21975,2.7564,0.05157"
