"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
17,",305,51613,29,19.42545,17.84674,17.12553,16.76516,16.50943,22.51202,21.35215,-17.99813,-19.5557,-20.33706,-20.7324,-20.95284,-15.07256,-16.23243,1.57871,2.66029,0.72121,1.08158,0.36037,0.25573,1.15987,3.08657,1.9267,4.66528,3.50541,5.38649,4.22662,5.74686,4.58699,6.00259,4.84272,0.07364"
18,",305,51613,486,19.1152,18.09179,17.60438,17.23969,17.0844,21.06129,20.09898,-17.70941,-18.69803,-19.26867,-19.64935,-19.78244,-15.92806,-16.89037,1.02341,1.87551,0.48741,0.8521,0.36469,0.15529,0.96231,1.94609,0.98378,2.9695,2.00719,3.45691,2.4946,3.8216,2.85929,3.97689,3.01458,0.05668"
19,",305,51613,614,19.45438,17.79425,16.94047,16.45798,16.12969,19.70938,19.10947,-17.26848,-18.88989,-19.85199,-20.38479,-20.67634,-17.22941,-17.82932,1.66013,2.9964,0.85378,1.33627,0.48249,0.32829,0.59991,0.255,-0.34491,1.91513,1.31522,2.76891,2.169,3.2514,2.65149,3.57969,2.97978,0.05543"
20,",306,51690,514,19.65935,18.03197,17.28301,16.95717,16.68941,23.12498,21.76241,-17.7072,-19.31179,-20.12561,-20.48525,-20.72046,-14.40829,-15.77086,1.62738,2.70218,0.74896,1.0748,0.32584,0.26776,1.36257,3.46563,2.10306,5.09301,3.73044,5.84197,4.4794,6.16781,4.80524,6.43557,5.073,0.07201"
21,",311,51665,387,18.91042,17.991,17.46373,17.0957,16.96509,20.38514,20.16476,-17.98654,-18.87255,-19.48176,-19.88321,-19.976,-16.67902,-16.8994,0.91942,1.81472,0.52727,0.8953,0.36803,0.13061,0.22038,1.47472,1.25434,2.39414,2.17376,2.92141,2.70103,3.28944,3.06906,3.42005,3.19967,0.05859"
22,",311,51665,427,18.62313,17.67392,17.18381,16.80415,16.69169,20.04705,19.68131,-18.77693,-19.70515,-20.24901,-20.65503,-20.73343,-17.49698,-17.86271,0.94921,1.81898,0.49011,0.86977,0.37966,0.11246,0.36574,1.42392,1.05818,2.37313,2.00739,2.86324,2.4975,3.2429,2.87716,3.35536,2.98962,0.07235"
23,",311,51665,431,19.08796,17.98575,17.50151,17.176,17.02682,20.69333,20.34825,-17.51592,-18.57883,-19.15578,-19.51067,-19.6246,-16.0817,-16.42678,1.10221,1.91196,0.48424,0.80975,0.32551,0.14918,0.34508,1.60537,1.26029,2.70758,2.3625,3.19182,2.84674,3.51733,3.17225,3.66651,3.32143,0.05155"
24,",311,51665,493,18.46854,17.41725,16.94316,16.63298,16.46194,19.73849,19.35531,-18.17903,-19.19193,-19.75629,-20.09416,-20.23096,-17.07751,-17.46069,1.05129,1.83556,0.47409,0.78427,0.31018,0.17104,0.38318,1.26995,0.88677,2.32124,1.93806,2.79533,2.41215,3.10551,2.72233,3.27655,2.89337,0.0525"
25,",335,52000,92,19.05406,18.00107,17.44694,17.07436,16.87302,20.96059,19.95005,-18.08503,-19.11012,-19.73508,-20.13493,-20.30479,-16.33922,-17.34976,1.05299,1.9797,0.55413,0.92671,0.37258,0.20134,1.01054,1.90653,0.89599,2.95952,1.94898,3.51365,2.50311,3.88623,2.87569,4.08757,3.07703,0.065"
26,",350,51691,311,19.35983,18.12554,17.43633,17.29965,17.03771,18.75405,17.90893,-17.24746,-18.44145,-19.23553,-19.40207,-19.63995,-18.05301,-18.89813,1.23429,2.06018,0.68921,0.82589,0.13668,0.26194,0.84512,-0.60578,-1.4509,0.62851,-0.21661,1.31772,0.4726,1.4544,0.60928,1.71634,0.87122,0.05229"
