plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction
487,51943,610,1.1495,3.9096,1.2490,0.0960
488,51914,282,2.7812,4.2728,1.1820,0.3070
491,51942,413,1.0849,1.9879,1.2130,0.5320
491,51942,456,1.2113,5.6726,1.1590,0.4700
492,51955,119,0.3489,2.5571,1.2730,0.3160
493,51957,144,4.5704,8.6892,1.0560,0.2520
493,51957,617,0.7450,1.9265,1.3180,0.1560
500,51994,185,0.5306,1.7398,1.3140,0.3080
502,51957,195,0.7044,2.7493,1.3050,0.4370
502,51957,554,0.7631,1.4941,1.4090,0.3440
503,51999,73,1.5631,3.5429,1.1710,0.6280
504,52316,549,1.2285,1.2931,1.3350,0.6600
505,52317,77,0.5320,3.7139,1.2350,0.2370
505,52317,228,3.6531,7.1294,1.0540,0.4480
505,52317,354,0.6469,2.6315,1.2560,0.4670
505,52317,454,1.4946,2.9234,1.1650,0.3590
508,52366,220,0.8734,1.9574,1.3010,0.4590
510,52381,386,2.0933,7.4041,1.1000,-0.0810
513,51989,559,1.1756,1.3998,1.2640,0.8790
515,52051,213,0.2556,1.2981,1.5220,0.3640
516,52017,291,0.6474,1.8200,1.2360,0.6750
517,52024,271,0.3105,2.2116,1.2620,0.0050
518,52282,49,0.9211,2.1668,1.2440,0.5460
523,52026,626,1.0231,2.9530,1.1890,0.3790
525,52295,25,0.8798,2.9413,1.1950,0.5700
527,52342,317,0.6474,1.5292,1.4500,0.2600
529,52025,193,0.7287,3.0689,1.2020,0.4280
532,51993,97,0.6889,3.7705,1.2460,0.3350
533,51994,172,3.5989,6.4006,1.1370,0.2350
533,51994,628,1.0513,2.4347,1.2680,0.3670
534,51997,59,0.9389,2.4876,1.2160,0.2090
534,51997,447,0.2596,3.1336,1.2390,0.1720
534,51997,455,1.2050,2.2768,1.2230,0.5910
535,51999,510,0.2432,1.5436,1.3230,0.3140
543,52017,141,1.4250,3.0923,1.2170,0.1900
544,52201,3,0.9026,2.5305,1.2470,0.3030
544,52201,362,0.9506,2.3325,1.1810,0.7120
545,52202,21,1.0825,3.0193,1.1900,0.2610
