plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction,H_alpha,EW_H_alpha,H_beta,OIII,NII
717,52468,543,0.6803,2.3219,1.3670,0.4000,459.0460,24.3460,102.6010,37.5430,204.5120
718,52206,454,5.5154,2.6280,1.2910,0.4290,267.2020,9.9980,60.6680,10.8220,99.3640
720,52206,411,1.2217,3.1111,1.1760,0.4210,1077.3220,48.1200,308.8920,301.0260,275.1490
724,52254,217,0.5418,0.8514,1.5020,0.1960,154.5780,6.2700,34.7130,45.1670,89.9320
725,52258,142,0.4694,3.4026,1.2330,0.4750,892.4590,47.5800,194.0410,67.1790,280.5060
726,52226,171,1.4331,3.3378,1.2450,0.1800,585.5940,38.9600,147.5790,68.9310,195.3430
730,52466,563,1.2517,2.7386,1.2030,0.2390,1723.0760,73.6150,479.4330,1149.4700,374.9430
737,52518,624,1.3918,2.5948,1.2090,0.4150,1889.6340,70.2330,448.0830,182.7830,667.5040
738,52521,226,1.5851,3.7791,1.1500,0.3310,1864.3000,133.8150,540.3100,1554.6040,209.5620
740,52263,382,0.5489,2.7527,1.2540,0.6170,776.3670,33.8790,165.1610,75.6540,314.7030
744,52251,620,0.7584,1.9574,1.4320,0.2460,351.4140,15.1810,102.2630,95.6610,147.3670
746,52238,240,0.2528,0.2021,1.5720,0.0480,172.7070,3.9900,56.7100,41.2290,78.8060
747,52234,241,0.2733,2.1017,1.2200,0.1110,847.8240,40.4270,238.1900,92.7310,312.4510
747,52234,582,1.3597,2.9012,1.2120,0.3530,1387.3190,68.3470,369.7640,350.6860,354.0710
748,52233,247,2.3516,4.9815,1.1810,0.0080,1112.5040,135.8700,324.4810,1527.3580,61.8570
748,52233,349,0.5058,1.2648,1.3950,0.2460,259.5470,11.7020,63.3450,60.7070,120.5130
748,52233,614,1.2272,4.2119,1.3390,0.2270,296.1960,19.2210,71.1460,17.0620,118.0910
755,52235,6,1.3251,2.6229,1.4880,0.2140,222.1510,11.0240,51.9800,49.2790,77.3500
756,52577,372,0.8440,1.5777,1.4270,0.3900,194.5440,10.7000,49.6060,28.0130,77.4490
758,52253,195,0.4917,1.1880,1.3130,0.1320,341.1220,17.9310,83.0200,42.5280,110.3360
758,52253,439,0.3792,2.3239,1.2080,0.5170,864.0400,49.9620,208.5720,75.1990,287.3790
761,52266,381,0.6270,1.0523,1.3400,0.4480,707.5610,35.1100,159.7420,65.7000,308.3900
762,52232,114,0.5067,2.5244,1.2330,0.2670,822.7600,40.5120,203.0160,162.0130,269.4960
763,52235,183,0.3664,1.9532,1.2970,0.3030,568.1580,22.2320,143.4120,52.4700,228.9220
767,52252,97,0.9900,3.3289,1.1860,0.5620,781.4410,35.0810,197.6410,119.7400,229.3610
767,52252,268,1.5238,2.5387,1.2930,0.3650,839.6380,32.2360,248.2620,289.5060,314.1470
767,52252,299,1.2134,4.0622,1.2320,0.3280,652.9710,32.2560,171.4700,149.9420,185.1330
767,52252,356,1.3986,0.7065,1.4360,0.2540,364.8960,16.6910,99.5390,68.2290,139.4970
775,52295,613,1.7963,5.5001,1.1410,0.3310,734.2330,106.4540,223.7610,733.2060,68.5090
776,52319,315,0.4906,2.1180,1.2440,0.3820,574.3600,33.9540,134.3670,89.6440,165.4800
776,52319,604,1.1157,2.0379,1.2030,0.4600,557.4090,20.1800,147.4860,783.3290,598.6460
783,52325,119,1.1222,2.0805,1.4320,0.1720,572.0990,20.0070,172.8160,91.8690,262.5520
785,52339,361,2.5056,2.8391,1.1630,0.7810,1266.8470,65.3620,340.1770,202.1030,355.3790
785,52339,460,1.1890,2.6754,1.1660,0.7350,1423.4730,75.2840,386.7120,594.5990,315.3820
786,52319,218,0.3897,0.5539,1.5560,0.0920,153.4530,5.4240,40.4370,23.3440,86.0080
788,52338,156,1.4634,2.8929,1.1910,0.1680,904.5540,43.8570,242.6440,174.9420,243.9630
788,52338,177,0.6542,3.6906,1.4040,0.0150,880.8240,36.4650,279.7630,826.7770,188.2810
788,52338,309,1.2431,0.0945,1.5920,0.0460,176.3120,6.4800,44.7630,42.8300,81.6540
789,52342,1,1.3988,4.0759,1.1640,0.2230,1016.8140,63.2580,312.8780,409.5540,168.4720
791,52435,518,0.7827,2.4630,1.2070,0.3080,1804.4060,45.3240,435.7460,143.8520,658.9110
791,52435,562,0.6459,2.8556,1.2370,0.1020,1081.0150,51.3520,312.2510,275.5230,341.8890
792,52353,327,0.4737,2.5694,1.3190,0.0540,491.0710,28.0870,121.0720,30.7560,193.4620
793,52370,490,0.5937,0.9654,1.3700,0.6860,502.0710,24.4420,98.3290,52.2370,215.1430
802,52289,25,1.0417,1.5205,1.2520,0.6440,373.6940,38.5000,103.3450,129.9590,77.7800
802,52289,327,2.0128,1.9219,1.2770,0.2710,289.8690,32.5650,82.4170,84.3250,70.1280
802,52289,335,1.1399,2.3704,1.1910,0.5000,247.1110,33.3800,96.2190,99.0060,58.9880
802,52289,387,1.4982,2.2610,1.2810,0.1980,195.0610,40.6130,49.5840,57.2900,39.0090
802,52289,401,1.5363,4.8979,1.2580,-0.2020,178.6620,48.4470,58.4120,151.1290,16.7760
802,52289,462,1.9769,4.5762,1.2150,0.4290,330.1740,46.0800,90.6090,53.7180,95.3810
802,52289,468,1.0445,3.5270,1.1610,0.3070,147.4610,34.4560,45.9200,114.5990,15.4560
802,52289,481,2.9830,3.6436,1.1250,0.5460,230.8230,54.5790,88.0630,220.2340,13.2240
802,52289,501,0.6578,4.1690,1.1740,0.4380,511.9980,131.7970,158.3020,625.2620,29.0810
802,52289,582,1.7811,2.3439,1.2430,0.4280,274.4770,29.5050,71.9030,49.5290,84.0080
803,52264,38,1.7900,4.4077,1.2360,0.0600,548.9140,63.9860,161.8140,459.6530,54.3800
803,52264,158,2.8878,4.5559,1.2300,-0.1920,84.2820,19.7380,29.8700,36.4840,13.0350
803,52264,297,0.3006,2.3931,1.3160,0.3910,97.7460,14.5220,36.2860,16.3960,23.8460
803,52264,361,3.0459,6.8357,1.2220,0.0410,196.6090,43.9890,61.1050,103.6530,31.5650
803,52264,362,1.6612,5.1094,1.2420,0.1010,217.6370,33.7690,71.0400,128.0930,29.3270
803,52264,414,0.7205,3.8062,1.2390,0.1720,176.8150,30.8260,46.9750,47.0470,36.9670
803,52264,459,0.7961,4.8960,1.2320,0.0740,111.9160,22.6540,33.1510,31.4990,24.8040
804,52266,19,0.9742,3.2928,1.2300,0.1890,170.6350,48.5590,53.7120,94.2430,18.2130
804,52266,95,0.8828,5.0383,1.2080,0.0310,132.4790,41.7270,45.8680,156.8530,8.8410
804,52266,117,0.9770,0.4224,1.4100,0.0980,352.1200,33.8840,100.4750,110.6460,93.3460
804,52266,361,0.6094,3.9790,1.2700,0.2100,326.4070,35.2490,99.6500,63.7940,73.1420
804,52266,554,3.5755,5.1958,1.2660,-0.1030,216.9070,47.0870,66.7470,145.8770,29.6990
805,52586,41,1.6850,5.0191,1.1950,-0.1320,229.6410,46.9580,56.8760,160.2800,15.7850
805,52586,446,0.6095,5.1851,1.1750,-0.0700,176.4570,51.5220,53.9700,110.7370,23.4790
806,52592,277,3.0703,3.7618,1.2940,0.1680,152.5250,32.8030,41.1620,66.9940,27.7470
806,52592,284,1.6657,2.6860,1.1800,0.0570,456.2590,53.2220,146.2950,267.6800,61.9040
806,52592,608,1.1311,4.1918,1.2510,0.1480,461.4710,43.6070,129.7680,91.9530,130.5170
811,52669,181,1.4428,5.9291,1.2030,0.2330,255.4530,93.8130,79.7480,275.9210,21.5310
811,52669,254,1.6520,3.0343,1.2770,0.0670,154.9630,39.9960,51.7150,95.6490,21.9420
811,52669,356,1.4069,5.1470,1.2100,0.1760,134.2740,40.4980,43.2280,125.6970,11.1520
812,52352,263,1.2827,2.8412,1.1530,0.4490,958.9030,49.9860,250.6660,241.9700,262.5010
815,52374,636,1.7551,4.2222,1.1290,0.3930,1606.1620,108.9200,437.1390,235.4850,483.1400
817,52381,348,0.4807,2.1140,1.2480,0.3830,1512.8940,59.9950,382.7790,378.0530,384.1590
818,52395,343,0.4854,0.7676,1.5380,0.4040,234.1950,12.3200,47.6940,29.6120,106.5520
818,52395,599,0.3475,2.3644,1.2620,0.3230,866.2290,49.7870,222.1420,82.3000,289.2230
820,52433,400,0.8101,2.8371,1.2330,0.1790,557.3950,35.4560,156.5770,68.6650,178.7050
826,52295,395,0.8850,1.6822,1.5190,0.1920,195.2750,9.2470,51.6550,64.8080,112.7100
831,52294,526,2.9303,11.1081,1.0590,0.3740,5421.4220,572.2930,1641.7790,9581.4160,276.9280
835,52326,445,0.6246,2.2621,1.1870,0.5700,913.8020,43.3060,212.5150,121.7080,264.2460
840,52374,417,0.6899,1.2707,1.3460,0.5040,391.7560,20.8780,90.5590,30.1410,159.7620
846,52407,349,1.2357,2.3874,1.2130,0.4850,868.5130,51.1760,197.9550,91.2130,272.4360
847,52426,522,2.1800,7.2697,1.0690,0.4190,4819.5130,359.7150,1448.7350,5618.4140,309.9160
849,52439,591,0.9306,2.7580,1.1850,0.3190,1358.1960,47.3630,377.8490,509.2870,326.1210
850,52338,298,0.9781,2.9160,1.2750,0.2600,1085.3850,34.6810,268.7600,155.2930,429.3000
851,52376,124,0.6659,3.0188,1.1720,0.2590,1342.2670,59.1400,352.5390,250.2120,385.9510
859,52317,179,0.6692,1.8353,1.1950,0.4520,792.4160,46.3790,191.0970,200.1810,189.9370
859,52317,269,0.7772,1.9745,1.2410,0.5020,565.6100,32.9880,138.3480,46.2610,196.5400
861,52318,223,2.0379,2.7302,1.2150,0.2320,697.5830,42.6220,194.1300,159.0900,206.8150
861,52318,367,0.5708,1.3751,1.4790,0.2500,153.9470,7.2890,40.8130,25.4550,62.1470
870,52325,432,0.7860,0.8252,1.3750,0.5710,247.8740,12.5200,53.3660,24.6610,106.2050
873,52674,53,0.7392,1.9250,1.4010,0.5980,763.9840,22.8430,140.2920,61.0200,327.6710
873,52674,366,0.4309,3.6991,1.2120,0.1450,1223.2450,37.9050,334.8420,115.5930,450.7260
873,52674,473,0.7667,1.8469,1.4570,0.1900,104.7980,4.0810,29.8900,47.8230,48.0500
874,52338,237,1.4221,2.1600,1.2250,0.4520,1033.8330,53.9880,274.3220,158.2430,311.9470
878,52353,304,4.4634,0.0484,1.3070,-0.6940,97.4600,41.3340,23.0250,54.6340,11.8120
880,52367,235,0.3530,0.9733,1.6130,0.0900,128.8170,4.3400,36.9620,24.8950,70.8940
880,52367,425,0.6442,1.0878,1.2760,0.5240,511.0960,29.1470,111.6790,25.8480,189.3160
882,52370,222,0.4404,1.1676,1.4610,0.4850,334.6390,12.6760,64.4340,21.7120,156.6040
883,52430,97,0.7252,2.1555,1.2790,0.2540,769.4360,36.5100,183.0280,51.1300,272.4140
884,52374,400,0.3298,0.3640,1.7690,0.0650,18.0410,0.7290,8.6340,16.9330,24.1850
884,52374,510,0.2533,2.7562,1.3350,0.5160,563.5970,38.3500,140.7180,84.4570,197.5510
885,52379,489,0.2516,2.1849,1.5340,0.0960,106.1710,5.1090,20.2950,57.8460,83.3720
886,52381,129,2.5746,3.7800,1.1140,0.5590,1463.0170,157.2830,454.2700,1828.6190,89.5440
886,52381,468,0.4214,0.3090,1.6090,0.2850,104.7100,2.3430,26.3380,26.9820,80.7800
886,52381,522,0.4349,0.6418,1.8590,0.0140,-994.0000,-999.0000,-999.0000,8.4450,-994.0000
890,52583,372,0.8040,3.0975,1.1820,0.4730,2513.6260,65.0690,603.2990,193.1460,880.0160
893,52589,618,1.5927,3.1879,1.1450,0.1920,1074.0890,54.5910,325.4780,751.8890,134.2220
894,52615,435,0.7268,1.9268,1.4150,0.2660,287.1420,10.4500,76.8770,62.4430,126.8370
898,52606,45,3.3246,12.3718,1.0570,0.4120,5061.3070,552.6180,1362.1780,6702.4050,412.2220
900,52637,616,0.7063,2.0944,1.2880,0.3000,581.4450,33.1740,160.9660,55.3770,203.8100
904,52381,151,0.0733,1.8742,1.5650,0.1530,142.3220,4.8550,31.4790,42.5450,99.4540
909,52379,130,0.5309,3.7953,1.1970,0.0990,686.8360,44.7250,197.3530,107.7550,204.3170
909,52379,550,0.3037,3.3163,1.2310,0.3620,768.4130,39.4280,202.0630,69.3390,274.4950
910,52377,162,0.3228,2.3939,1.1930,0.4220,671.1180,37.9200,153.3160,128.6850,174.7440
911,52426,562,10.6934,2.7167,1.4230,0.2960,163.4360,7.2430,31.9120,10.8360,61.8700
916,52378,23,1.7397,2.4953,1.2080,0.2740,2324.6000,70.1840,574.0170,624.4530,640.3620
917,52400,80,0.5436,2.5758,1.2870,0.2550,1535.3990,36.3290,335.8540,250.1720,697.0540
918,52404,462,1.4250,2.3618,1.1840,0.5010,932.7040,39.5550,252.6100,173.9620,278.8190
919,52409,484,0.8024,2.7495,1.2300,0.3480,400.5060,25.6730,112.2240,40.3770,131.0690
922,52426,98,0.9472,3.1080,1.2170,0.4380,1557.0740,46.2990,361.2660,98.5430,616.8190
927,52577,485,1.0156,1.3051,1.2220,0.5500,486.1750,28.3150,118.8330,86.2870,152.5760
930,52618,598,0.9516,2.8923,1.1970,0.3560,1117.1900,66.7870,292.0670,228.4370,292.3020
931,52619,530,0.4515,2.3470,1.3130,0.3810,400.6400,21.1050,97.4450,16.9990,170.9020
933,52642,360,0.6097,2.7358,1.2140,0.3730,993.7290,35.3250,259.6150,230.3860,440.6980
933,52642,531,0.9425,3.0507,1.2160,0.4390,1283.2870,58.6560,274.0150,78.1790,449.2980
934,52672,426,1.3330,3.8310,1.2980,0.1730,1039.6610,37.6460,326.2490,1091.1260,139.4970
936,52705,88,1.2161,3.5283,1.2070,0.3660,1691.5140,79.8390,390.8790,144.0350,561.6730
936,52705,477,4.3335,8.4494,1.0640,0.6790,2132.4180,320.1660,716.0700,4148.8130,70.7390
937,52707,379,0.5957,2.2606,1.2330,0.3290,1674.4050,38.0630,351.2060,53.7970,562.7140
941,52709,19,0.5809,2.4515,1.3920,0.2160,170.0790,12.1870,38.2070,-999.0000,59.8610
941,52709,74,1.1665,3.2480,1.1730,0.1520,842.8380,55.0720,247.0300,395.1250,139.5980
942,52703,220,2.6886,2.9090,1.1250,0.3470,1579.2770,70.7390,477.1650,1220.1430,166.3090
944,52614,222,0.7603,1.9246,1.2590,0.3330,619.5690,31.0560,155.2700,59.7270,240.9750
946,52407,22,1.0317,0.9593,1.5490,0.0660,152.4420,6.6840,45.2430,39.7800,72.2630
952,52409,189,0.6715,3.1841,1.3570,0.4070,240.2230,15.1650,54.7500,10.6200,87.8090
952,52409,229,0.9702,1.9934,1.2370,0.4180,838.5460,44.2780,206.4080,123.6740,275.3360
952,52409,447,3.4970,6.8807,1.1070,0.3270,1495.2410,222.7880,488.5560,2177.6250,73.1520
953,52411,409,1.1865,2.6892,1.2190,0.2040,1077.4980,44.9620,284.5820,186.5280,347.1500
954,52405,221,0.6765,2.3810,1.1950,0.3280,1374.1300,38.2730,318.5930,154.9570,512.7370
954,52405,384,0.6374,1.6373,1.4730,0.2170,151.9360,8.2740,39.9640,98.6320,66.3320
954,52405,536,0.5369,0.5992,1.6510,0.1380,62.8480,2.7030,18.1570,21.4630,27.1070
954,52405,559,0.4173,1.9028,1.3140,0.7560,680.8010,27.6970,108.7840,21.9250,359.0980
957,52398,146,0.4725,1.6233,1.3540,0.3700,602.6690,17.8550,157.3890,94.9590,259.0150
957,52398,622,0.9201,2.4587,1.3290,0.5080,628.4830,31.4130,134.2120,109.7470,275.6870
957,52398,624,1.4501,2.2579,1.3230,0.1280,1033.9640,36.6280,291.0140,306.2210,328.4560
958,52410,240,0.6929,1.0305,1.4240,0.6700,164.0500,8.7110,41.4690,21.5000,74.5450
959,52411,232,0.7954,3.0021,1.2360,0.5000,1310.5430,69.3890,343.8330,271.9250,412.0320
960,52425,237,0.7243,3.2380,1.2740,0.3640,884.1730,35.8900,204.7250,49.3700,379.0990
961,52615,369,0.6330,1.8819,1.2920,0.4650,577.6020,24.5450,129.7780,48.3870,233.6130
961,52615,456,0.8780,2.9505,1.1820,0.4380,881.0850,40.5530,239.5350,117.4390,271.8000
961,52615,537,1.1820,3.3034,1.1910,0.3950,1268.9160,49.9200,365.2880,162.1290,415.2060
962,52620,282,0.6835,2.9811,1.2350,0.5510,795.9140,45.5890,193.7810,221.9840,172.0160
963,52643,15,1.2566,2.0760,1.2360,0.1720,535.2760,37.2960,156.2960,137.4040,153.7580
964,52646,54,0.8441,2.0782,1.4120,0.2080,287.8520,13.1640,75.3010,45.3860,138.0800
966,52642,14,0.9346,1.7650,1.2600,0.7000,1001.6570,38.6930,182.6040,41.1580,392.2220
966,52642,256,0.1131,2.2768,1.4860,0.1200,82.7760,5.7030,20.8470,16.9220,46.8680
966,52642,630,0.6648,2.0409,1.2520,0.5970,1027.3090,52.7010,235.9200,95.4340,345.7180
969,52442,141,0.6737,1.2549,1.4870,0.1210,191.7630,9.3560,43.1710,20.9860,92.9630
971,52644,266,1.0570,1.0996,1.3070,0.1620,1456.7480,43.2190,361.6270,385.9880,535.6380
971,52644,585,0.3471,1.7905,1.3000,0.1480,287.9410,17.1440,63.9580,42.2940,113.3900
974,52427,374,0.2890,0.7892,1.6130,0.2440,115.8050,4.8940,22.1640,17.8870,93.5560
974,52427,468,1.1990,2.6556,1.1560,0.4770,2538.7730,50.7500,708.0240,463.7140,953.7510
974,52427,528,1.2619,2.2569,1.2510,0.1870,621.7390,29.7870,168.1650,74.0180,219.1350
977,52410,207,0.3675,1.0982,1.2900,0.1630,351.5380,28.4400,87.5010,56.7930,86.8410
982,52466,105,1.5296,4.7294,1.2570,0.1840,549.1300,32.1840,162.7640,116.1720,167.1600
983,52443,203,0.5921,1.3988,1.5340,0.0340,75.4620,5.2740,19.1330,18.3930,42.8990
985,52431,356,0.7617,0.4672,1.4970,0.2870,204.7360,7.2990,49.4490,71.2860,81.3020
985,52431,422,0.6449,3.6671,1.3830,0.0090,1105.9780,41.4420,344.2440,636.0370,353.2540
988,52520,236,1.5351,2.1394,1.2360,0.1820,395.3270,28.8940,121.5800,113.0840,101.5090
988,52520,582,0.3406,1.2834,1.2770,0.7020,840.8960,47.3260,184.4650,103.9270,279.4160
991,52707,435,1.0773,3.0562,1.2710,0.3330,655.2590,29.5540,165.6050,41.6220,278.7350
995,52731,58,0.9128,2.3397,1.2280,0.4590,1482.3700,47.0420,306.6020,102.0010,558.3590
996,52641,168,0.6941,2.7466,1.1910,0.1720,1089.5770,48.2390,310.4850,342.0360,255.0490
997,52734,171,0.7321,1.5144,1.3480,0.5240,338.9260,17.2690,77.3190,35.4170,132.1120
997,52734,532,0.4612,2.8820,1.2080,0.4050,922.4170,42.5460,241.7550,162.2830,319.5480
999,52636,481,0.6019,4.1273,1.2040,0.1730,536.2950,37.2460,150.5720,109.5400,160.3800
1000,52643,419,0.2576,2.5897,1.2360,0.5410,654.0180,33.0600,164.6490,47.0680,251.0980
1001,52670,19,0.5743,0.5118,1.6210,0.0270,71.9690,3.7080,16.2270,42.6530,36.4570
1005,52703,206,2.6009,5.1905,1.1180,0.2290,1289.7580,145.1320,420.8520,1493.5210,94.1870
1007,52706,79,0.3433,3.0431,1.2790,0.4920,552.5850,32.9560,132.4180,72.7280,205.8050
1007,52706,478,1.3132,4.0551,1.1520,0.3840,2291.2820,167.2640,646.2960,2446.9540,195.2040
1008,52707,21,1.3823,4.0719,1.1420,0.3950,2591.9100,161.9540,650.6110,1027.5750,578.4630
1008,52707,378,0.4709,2.1716,1.4410,0.2750,149.2540,8.5590,49.4530,180.3830,49.2820
1009,52644,433,0.2673,0.9482,1.5640,0.2980,332.7490,10.5240,94.3220,88.9450,152.4170
1011,52652,340,1.0526,3.5499,1.2060,0.1470,1026.0200,60.7430,275.9060,163.1850,281.8800
1011,52652,432,1.4553,2.8277,1.1680,0.4310,1226.0820,58.5680,380.3410,542.6910,209.5760
1012,52649,20,2.0384,2.7044,1.1770,0.2930,704.3260,48.8890,196.3970,298.7400,124.4100
1012,52649,38,0.4423,3.5593,1.2530,0.3310,798.5800,46.4260,191.4050,69.9520,297.5160
1013,52707,214,1.1281,2.9972,1.2530,0.3180,730.2940,34.2030,180.8960,55.7380,256.4570
1014,52707,269,7.5872,0.9801,1.7900,-0.0910,5.1320,0.2410,-999.0000,-994.0000,-994.0000
1016,52759,563,0.6111,2.9711,1.2360,0.2720,429.1500,27.3570,102.5070,47.4870,135.8310
1017,52706,14,1.0438,2.0145,1.2140,0.2910,1558.9490,52.0380,344.7490,269.6740,439.5430
1017,52706,411,0.4689,0.4619,1.6110,0.1330,135.7520,4.9910,35.4700,33.7130,60.6250
1020,52721,300,0.3128,3.5969,1.2470,0.2080,362.1190,26.2210,97.8310,69.7250,113.6050
1021,52460,26,1.1372,3.5588,1.2050,0.1840,559.5120,84.0970,176.5250,376.4370,78.5680
1021,52460,121,1.2023,2.0575,1.2400,0.5260,172.8590,28.6870,45.2110,56.2730,36.0290
1021,52460,174,1.3535,3.3364,1.2430,0.1840,163.9570,29.0310,54.2730,78.7480,25.4750
1021,52460,611,0.8902,1.0768,1.3010,0.5840,442.9130,38.3330,103.7460,65.4880,146.3010
1022,52524,335,1.2270,3.0920,1.2130,0.1430,602.2820,38.8690,185.6370,181.1760,157.5440
1022,52524,501,1.1572,4.3636,1.1640,0.1010,714.9870,103.8880,218.6930,856.4420,41.1040
1023,52818,95,1.3899,3.6068,1.2110,0.2990,651.3020,63.9480,181.7600,269.3270,113.1650
1023,52818,116,1.9501,5.1067,1.1880,-0.0600,221.6220,48.0920,76.3840,180.8550,19.6470
1023,52818,117,0.6032,2.7410,1.2490,0.0220,222.7150,42.7490,66.6130,142.5790,24.8720
1023,52818,201,2.9295,3.7957,1.2800,0.5020,82.0130,19.2430,25.3910,73.3410,7.4640
1023,52818,331,1.4264,3.4176,1.2600,-0.8180,152.3740,46.6330,41.9720,190.5170,5.9220
1023,52818,540,0.8920,1.8008,1.3090,0.2320,242.6140,20.3600,67.8220,27.0770,87.2870
1024,52826,118,1.1147,2.1526,1.2430,0.1590,336.1390,40.5860,96.3360,113.7280,52.9570
1024,52826,312,2.5920,1.2693,1.3760,0.0030,114.0970,16.7770,36.0550,28.0980,25.6880
1024,52826,528,0.8362,3.5225,1.2070,0.3030,257.0810,36.2070,84.2760,172.6810,25.5380
1025,53239,81,0.3690,6.2473,1.2830,0.0570,83.1630,21.9290,24.8160,23.8050,17.0130
1025,53239,91,1.6828,4.2532,1.3000,0.0260,171.7260,28.9840,56.2980,93.9260,24.4080
1025,53239,383,1.5911,3.7621,1.2690,0.1880,171.1260,30.4910,48.8430,75.0840,24.8180
1026,52558,4,1.5334,2.4704,1.2290,-0.0370,152.8710,39.7020,45.8820,141.4780,9.8490
1026,52558,44,1.9509,3.8072,1.2040,0.3160,488.4100,48.9780,186.6740,382.6970,72.7220
1026,52558,71,0.8078,2.1978,1.2690,0.4690,289.6960,34.1390,80.7130,198.8030,36.3220
1026,52558,146,0.7561,2.7950,1.2360,0.2300,121.3010,19.6060,43.5690,79.0230,16.9920
1027,52557,32,1.5566,2.5958,1.2880,0.0200,258.0570,34.4760,78.0310,176.1230,39.4690
1027,52557,53,1.0739,4.2909,1.2230,0.1910,407.5860,51.3830,117.4710,244.2940,64.0220
1027,52557,188,1.3099,1.6906,1.2910,-0.0880,221.4550,52.1990,66.9180,145.4620,20.1030
1027,52557,264,1.1803,3.7459,1.2030,0.0340,226.3150,41.2070,69.3520,86.3400,40.8700
1027,52557,287,1.7089,6.0544,1.2290,0.2540,502.0860,107.1000,146.7100,453.0490,40.3360
1028,52562,32,1.4093,3.6879,1.1690,0.3940,974.8930,63.1840,286.2600,512.9490,192.9510
1028,52562,197,0.8885,2.8725,1.2360,0.1840,167.2830,29.4570,57.9930,123.6890,17.6090
1028,52562,396,0.9067,2.3070,1.2220,0.0520,99.3000,29.2920,32.4220,69.7850,9.1480
1028,52562,410,1.7287,3.1286,1.1910,0.2650,603.5780,39.8160,199.9710,250.5260,120.1090
1028,52562,458,1.9415,3.2315,1.2530,0.2800,178.2020,31.8730,50.4540,72.9120,28.1100
1028,52562,523,1.5843,2.0514,1.2740,0.1390,503.4860,43.5240,145.3370,330.2930,62.4050
1028,52562,539,1.3320,3.5369,1.2140,0.2270,330.2060,49.2840,103.0740,156.8620,57.5910
1028,52562,564,2.0148,3.5493,1.1620,0.5360,267.1610,40.9510,78.4720,108.9920,38.6250
1028,52562,593,0.7007,1.3382,1.3670,0.5340,130.1760,11.9330,32.4560,42.0910,53.9010
1029,52912,7,1.3115,0.1406,1.3700,0.2110,294.3230,30.2740,72.3380,51.7670,76.0310
1029,52912,160,0.9395,2.4762,1.2040,0.1770,255.5050,42.1180,75.1450,173.1430,29.1640
1029,52912,181,1.1049,2.6412,1.2610,0.2520,402.8770,40.7800,115.1600,92.8530,106.2390
1029,52912,415,2.5444,2.5669,1.2430,0.0860,127.3160,17.4400,39.2210,57.9240,20.2620
1029,52912,449,1.8616,1.9544,1.3160,0.2880,133.4100,17.0930,34.1050,21.2810,46.0230
1029,52912,523,2.3416,3.2714,1.2110,0.3270,255.6250,30.8760,79.5100,87.3300,59.4560
1029,52912,542,1.6802,2.6752,1.2850,0.0470,190.9830,23.1660,55.3560,52.1800,46.2630
1029,52912,591,1.0275,4.1709,1.1780,0.4190,880.9480,55.0280,244.5590,127.8220,320.9560
1030,52914,18,1.2290,3.6602,1.2330,0.0150,181.4250,33.5780,56.0670,99.4710,27.5800
1030,52914,38,2.4234,4.4051,1.2500,0.0900,272.4990,69.0530,79.5380,232.9180,24.9040
1030,52914,48,0.9763,2.9859,1.2330,0.2630,147.4490,21.3300,46.4910,61.8120,29.5850
1030,52914,60,0.7269,5.1691,1.2850,0.0850,478.9060,60.3560,150.7350,343.8650,84.2720
1030,52914,115,1.9493,3.3746,1.2470,0.5720,689.7810,52.0140,159.7520,107.2930,198.2770
1030,52914,129,0.5312,4.6163,1.2780,0.1120,93.4670,18.7420,29.3630,33.5310,15.1150
1030,52914,170,0.4739,3.9724,1.3220,-0.1280,102.9850,28.7820,23.5010,61.5920,14.5210
1030,52914,233,1.4579,2.5302,1.2410,0.2500,266.9410,29.6220,74.0290,53.1360,63.6400
1030,52914,237,1.0054,3.4161,1.2230,0.2160,184.9350,35.8290,49.5250,77.5220,33.5980
1030,52914,240,1.0388,2.0588,1.2440,0.1460,358.4940,32.3990,89.7190,54.3840,100.9830
1030,52914,279,1.4577,3.4374,1.2220,0.1680,337.1480,37.2550,124.8760,251.2280,45.7220
1031,53172,462,1.7618,2.3683,1.3100,0.3050,172.8730,22.8200,48.6860,27.2970,51.0670
1031,53172,537,2.2071,3.4400,1.1630,0.1040,212.9260,42.0480,62.3660,158.2720,15.4180
1032,53175,354,1.7535,1.3500,1.2720,0.2750,359.6750,34.8490,116.4740,249.5690,61.6750
1032,53175,399,1.2750,2.1318,1.2660,0.2110,280.6360,52.0500,84.7790,206.4760,30.1460
1032,53175,404,0.3761,4.0713,1.2570,0.0340,70.3970,19.0400,22.5400,41.7140,6.9120
1032,53175,620,0.8325,1.0287,1.2950,0.3190,324.3790,38.0020,80.8170,157.0100,54.5750
1033,52822,4,1.1644,3.1162,1.2250,0.0880,913.4940,69.5030,274.8820,813.8610,119.5990
1033,52822,30,1.0417,1.4872,1.3740,0.2510,737.1440,45.8980,173.8200,144.3530,244.9230
1033,52822,157,1.0209,3.4962,1.2370,0.1690,444.2150,69.3470,141.7680,389.5230,47.9300
1033,52822,344,1.4502,1.9177,1.3010,0.0720,235.2570,24.5970,62.1530,43.6630,52.8740
1033,52822,358,2.0103,3.1869,1.2620,0.1620,618.3950,62.4540,174.1870,137.5530,141.2720
1033,52822,585,0.4370,3.0844,1.2030,0.1000,265.2960,27.6170,82.2330,102.0700,44.7560
