#      Objid          plate    mjd    fiberid       ra           dec       fiberMag_z   modelMag_u   modelMag_g   modelMag_r   modelMag_i   modelMag_z   extinction_u   extinction_g   extinction_r   extinction_i   extinction_z    fuv_mag      nuv_mag      dered_u      dered_g      dered_r      dered_i      dered_z    petroR90_r  modelMagErr_u  modelMagErr_g  modelMagErr_r  modelMagErr_i  modelMagErr_z   fuv_magerr   nuv_magerr      e_bv      redshift     s2n_r     sn_fuv_auto   survey   morph_type   mag_ab_u   mag_ab_g   mag_ab_r   mag_ab_i   mag_ab_z    av_mw    a_lambda_u  a_lambda_g  a_lambda_r  a_lambda_i  a_lambda_z  a_lambda_fuv  a_lambda_nuv  fiber_corr  flux_u(E-17)  flux_g(E-17)  flux_r(E-17)  flux_i(E-17)  flux_z(E-17)  flux_fuv(E-17)  flux_nuv(E-17)  flux_u_err(E-17)  flux_g_err(E-17)  flux_r_err(E-17)  flux_i_err(E-17)  flux_z_err(E-17)  flux_fuv_err(E-17)  flux_nuv_err(E-17)  flux_u_esc(E-17)  flux_g_esc(E-17)  flux_r_esc(E-17)  flux_i_esc(E-17)  flux_z_esc(E-17)  flux_fuv_esc(E-17)  flux_nuv_esc(E-17)  scaling_factor  chi^2(goodness)  absolute_goodness  Mag_Abs_u   Mag_Abs_g   Mag_Abs_r   Mag_Abs_i   Mag_Abs_z
588848900453171337     290    51941     386      188.2686     0.3967138     17.87251     19.70948     18.31733     17.65688     17.21231     17.00427      0.10648        0.07835        0.05683        0.04309        0.03055       21.73948     20.66477     19.60300     18.23898     17.60006     17.16922     16.97372    3.08270       0.04341        0.01371        0.01029        0.00720        0.01903       0.39147      0.22496     0.02034058   0.0691956   17.0367     2.774175     ['AIS']       3       19.56300   18.24898   17.61005   17.17922   16.99372    0.06306    0.09950     0.07671     0.05538     0.04249     0.03051     0.16526       0.18020       1.00000     12.86631      24.69807      25.79436      26.06469      21.69534      11.03967        14.13869         0.00000           0.00000           0.00000           0.00000           0.00000             0.19070             0.02080             0.53777           1.03229           1.07811           1.08941           0.90679           0.46142             0.59095           0.04180          0.00368          0.00123        -17.87931   -19.19333   -19.83226   -20.26309   -20.44859
588848899382640916     293    51994      27      195.6440    -0.5409036     18.32595     19.21052     18.18536     17.73772     17.39924     17.28695      0.10039        0.07387        0.05357        0.04062        0.02880       20.68755     20.31323     19.11012     18.11150     17.68414     17.35862     17.25814    3.45059       0.03434        0.00770        0.00947        0.00747        0.01964       0.15473      0.07953     0.01921909   0.0627970   14.1981     7.018639     ['AIS']       3       19.07013   18.12149   17.69415   17.36862   17.27815    0.05958    0.09401     0.07248     0.05233     0.04015     0.02883     0.15615       0.17027       2.60375     52.74747      72.31998      62.15680      57.00261      43.47058      28.85128        19.37050         0.10998           0.10998           0.10998           0.10998           0.10998             0.12249             0.00165             0.67765           0.92910           0.79853           0.73231           0.55847           0.37065             0.24885           0.01285          0.00200          0.00067        -18.15139   -19.10003   -19.52738   -19.85291   -19.94338
587722984432074973     294    51986     608      197.4470     0.9598788     17.96091     19.29500     18.24939     17.72186     17.39103     17.17883      0.19630        0.14443        0.10476        0.07943        0.05632       20.43236     20.22734     19.09870     18.10495     17.61711     17.31159     17.12251    2.96444       0.03251        0.00776        0.00881        0.00861        0.01803       0.12368      0.08009     0.03802386   0.0537622   18.2199     8.780377     ['AIS']       3       19.05870   18.11496   17.62711   17.32160   17.14251    0.11787    0.18600     0.14339     0.10353     0.07943     0.05703     0.30893       0.33686       1.00000     20.47253      27.94298      25.39246      22.86136      18.91689      41.87761        24.35721         0.00000           0.00000           0.00000           0.00000           0.00000             0.10860            -0.00568             0.68811           0.93920           0.85348           0.76840           0.63582           1.40757             0.81868           0.03361          0.00251          0.00084        -17.81111   -18.75485   -19.24271   -19.54821   -19.72730
587722983895072946     295    51985     353      197.2067     0.6110198     18.33307     19.12230     18.01410     17.62805     17.34635     17.25682      0.11979        0.08814        0.06393        0.04847        0.03437       20.48169     19.98267     19.00251     17.92596     17.56412     17.29787     17.22245    3.35152       0.03644        0.00673        0.00651        0.00777        0.02111       0.11184      0.07191     0.02283224   0.0729537   15.2784     9.710682     ['AIS']       3       18.96251   17.93596   17.57412   17.30788   17.24245    0.07078    0.11169     0.08610     0.06216     0.04769     0.03425     0.18550       0.20228       2.69464     60.27676      88.79168      71.84523      62.38655      46.49154      35.80863        27.03206         0.11791           0.11791           0.11791           0.11791           0.11791             0.09485            -0.00918             0.57065           0.84061           0.68018           0.59063           0.44015           0.33901             0.25592           0.00947          0.00334          0.00111        -18.60053   -19.62708   -19.98892   -20.25517   -20.32059
587722983358922949     295    51985     499      198.7433     0.1536379     17.51869     19.22314     17.88985     17.15114     16.71303     16.45565      0.15399        0.11330        0.08218        0.06231        0.04418       21.72709     21.02968     19.06915     17.77655     17.06896     16.65072     16.41147    3.44353       0.03609        0.00663        0.00595        0.00534        0.01359       0.28717      0.13804     0.02930434   0.0664358   25.4109     3.781682     ['AIS']       3       19.02915   17.78655   17.07896   16.66072   16.43147    0.09084    0.14335     0.11051     0.07979     0.06121     0.04395     0.23809       0.25962       2.66205     56.00259     100.65899     111.98953     111.85874      96.93536      11.92309        10.85154         0.11401           0.11401           0.11401           0.11401           0.11401             0.14651             0.01668             0.56317           1.01225           1.12619           1.12488           0.97480           0.11990             0.10913           0.01006          0.01265          0.00422        -18.32044   -19.56304   -20.27063   -20.68887   -20.91812
588848899921870994     296    51665      38      201.0521    -0.2071579     17.71586     18.99349     17.82658     17.29858     16.97631     16.79321      0.14193        0.10443        0.07574        0.05743        0.04072       20.68390     20.09078     18.85156     17.72215     17.22284     16.91888     16.75248    3.16995       0.02521        0.00656        0.00586        0.00606        0.01381       0.15844      0.07107     0.02776733   0.0554938   17.5009     6.854163     ['AIS']       3       18.81156   17.73215   17.23284   16.92888   16.77249    0.08608    0.13583     0.10471     0.07560     0.05800     0.04165     0.22560       0.24600       1.00000     25.70574      39.75544      36.51003      32.82394      26.59860      30.81641        25.45235         0.00000           0.00000           0.00000           0.00000           0.00000             0.12838            -0.00665             0.61191           0.94636           0.86910           0.78136           0.63316           0.73357             0.60588           0.02380          0.00038          0.00013        -18.12986   -19.20927   -19.70859   -20.01255   -20.16893
587722982286426277     297    51663      92      201.6462    -0.7680019     18.26679     19.19802     18.16514     17.74665     17.47024     17.36851      0.13374        0.09840        0.07137        0.05412        0.03837       20.12203     19.94123     19.06428     18.06674     17.67528     17.41612     17.33014    3.34561       0.03138        0.00840        0.02660        0.00792        0.02106       0.18603      0.12341     0.02604304   0.0670858   15.4453     5.837756     ['AIS']       3       19.02428   18.07674   17.68528   17.42612   17.35014    0.08073    0.12740     0.09821     0.07091     0.05440     0.03906     0.21159       0.23072       1.00000     21.13196      28.94412      24.06770      20.76309      15.62421      51.05662        28.81216         0.00000           0.00000           0.00000           0.00000           0.00000             0.16644            -0.02072             0.62026           0.84956           0.70643           0.60943           0.45860           1.49859             0.84568           0.02935          0.00387          0.00129        -18.34747   -19.29502   -19.68647   -19.94563   -20.02161
587722983360364886     297    51663     117      202.1735     0.0312372     18.20264     19.35655     18.29526     17.82840     17.51395     17.34965      0.13761        0.10125        0.07344        0.05568        0.03948       20.49046     20.28740     19.21894     18.19401     17.75496     17.45826     17.31017    3.19431       0.03316        0.00699        0.00665        0.00713        0.02200       0.16633      0.08533     0.02633983   0.0546196   15.8227     6.529119     ['AIS']       3       19.17894   18.20401   17.76496   17.46827   17.33017    0.08165    0.12885     0.09933     0.07171     0.05502     0.03951     0.21400       0.23335       1.00000     18.32640      25.74260      22.36462      19.97262      15.91427      36.44374        20.99596         0.00000           0.00000           0.00000           0.00000           0.00000             0.14173            -0.00059             0.69262           0.97290           0.84523           0.75483           0.60145           1.37733             0.79351           0.03779          0.00071          0.00024        -17.72660   -18.70153   -19.14058   -19.43728   -19.57537
587722982291013769     302    51688     170      212.0675    -0.7277601     17.82784     19.33284     18.20259     17.64020     17.29650     17.06280      0.21723        0.15983        0.11592        0.08790        0.06232       20.79303     20.36094     19.11561     18.04276     17.52428     17.20860     17.00048    3.15675       0.03341        0.00750        0.00611        0.00677        0.01536       0.26557      0.10661     0.04208335   0.0522615   23.2773     4.089353     ['AIS']       3       19.07561   18.05276   17.53428   17.21860   17.02048    0.13046    0.20586     0.15870     0.11458     0.08791     0.06312     0.34191       0.37283       1.00000     20.15616      29.59055      27.65901      25.13634      21.16722      30.94643        22.24578         0.00000           0.00000           0.00000           0.00000           0.00000             0.21549            -0.00317             0.67000           0.98360           0.91940           0.83554           0.70361           1.02867             0.73946           0.03324          0.00060          0.00020        -17.73031   -18.75317   -19.27165   -19.58733   -19.78545
587722983902740567     303    51615     587      214.6945     0.5607975     17.91777     18.72474     17.70701     17.30815     17.05318     16.93213      0.19584        0.14410        0.10451        0.07925        0.05619       20.57933     19.47261     18.52890     17.56292     17.20364     16.97393     16.87594    3.39107       0.02216        0.00587        0.00527        0.00600        0.01504       0.25861      0.10788     0.03796054   0.0530044   22.6622     4.199432     ['AIS']       3       18.48890   17.57291   17.21364   16.98393   16.89594    0.11768    0.18569     0.14315     0.10335     0.07930     0.05694     0.30842       0.33630       1.00000     34.60134      46.03523      37.16133      31.20098      23.73981      36.55887        48.78657         0.00000           0.00000           0.00000           0.00000           0.00000             0.22053            -0.07883             0.67106           0.89280           0.72070           0.60511           0.46041           0.70902             0.94616           0.01939          0.00067          0.00022        -18.34887   -19.26486   -19.62413   -19.85384   -19.94183
