Objid,plate,mjd,fiberid,ra,dec,fiberMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,fuv_mag,nuv_mag,dered_u,dered_g,dered_r,dered_i,dered_z,petroR90_r,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,fuv_magerr,nuv_magerr,e_bv,s2n_r,sn_fuv_auto,survey,morph_type
587741726043996421,2660,54504,176,190.5247,24.82303,18.02443,19.4985,18.22846,17.58706,17.26239,17.04295,21.26384,21.17441,19.41187,18.16471,17.54083,17.22733,17.01809,3.38149,0.04250107,0.01001588,0.01021091,0.01228821,0.02164063,0.2768586,0.1473884,0.01670351,24.3433,3.92258,AIS,3
587738946141093984,2030,53499,450,167.9322,37.75317,18.13166,18.74408,17.78697,17.45462,17.17036,17.12218,19.91319,19.41448,18.67156,17.73361,17.41592,17.14102,17.10137,3.214064,0.02227214,0.007945189,0.006419173,0.009253401,0.01811405,0.177404,0.09967095,0.01438707,19.5726,6.121619,AIS,3
587729409155727665,974,52427,528,256.1245,35.7591,17.85771,19.07404,17.96417,17.5306,17.22021,17.06423,20.12126,19.73626,18.94698,17.87069,17.4628,17.1688,17.02778,2.900688,0.02725954,0.01250464,0.006678088,0.007986532,0.01573937,0.1855144,0.1097722,0.02461563,22.0874,5.853992,AIS,3
587739719751958627,2237,53828,259,189.534,29.18066,19.51305,19.8341,19.19148,19.35174,18.76655,18.98995,20.20729,20.88646,19.7502,19.12976,19.30697,18.7326,18.96588,2.242298,0.05534631,0.01257605,0.01732939,0.01657208,0.06480142,0.2193976,0.1666142,0.01643909,6.80026,4.949917,AIS,3
587739809961607194,2197,53555,294,240.4377,15.90206,17.68319,18.75784,17.77713,17.30886,16.98547,16.82633,20.50322,19.72134,18.57783,17.64468,17.2128,16.91262,16.77469,3.432817,0.02796905,0.005833251,0.005298646,0.005232978,0.01368175,0.1934502,0.07504934,0.03462886,24.5837,5.613848,AIS,3
588007003646984218,607,52368,265,217.3538,60.05473,17.46144,19.49046,18.12294,17.26929,16.75415,16.53696,20.34581,19.80444,19.42314,18.07341,17.23337,16.72691,16.51764,2.735646,0.04450458,0.008548572,0.005729225,0.005190988,0.01184147,0.2384539,0.131245,0.01298639,21.8734,4.554339,AIS,3
588017979433812049,2021,53475,639,196.5361,39.94587,17.74396,19.15985,18.10375,17.57031,17.13152,16.91164,20.92343,20.27086,19.06761,18.03588,17.52109,17.0942,16.88518,3.45008,0.02996384,0.007431804,0.006446112,0.007503137,0.01448615,0.1692304,0.0974911,0.01818505,19.6471,6.417285,AIS,3
587742773481701497,2499,54176,95,172.3307,16.39141,17.18509,18.94973,17.67941,17.06141,16.63578,16.40878,20.83258,20.39593,18.80442,17.57249,16.98387,16.57698,16.36709,2.672974,0.0361339,0.005896724,0.005010536,0.004651164,0.01105003,0.2818922,0.1736332,0.02820538,30.6877,3.852536,AIS,3
587742060541968461,2651,54507,59,199.3532,21.18189,17.68778,19.92854,18.31848,17.63545,17.31589,17.08112,21.98656,22.06837,19.7441,18.18278,17.53703,17.24126,17.0282,2.89049,0.05467735,0.007080605,0.005911429,0.005578825,0.01208832,0.484018,0.4322558,0.03608957,23.2189,2.243718,AIS,3
587736941986382060,1648,53171,558,226.9169,32.39491,18.00165,18.8455,17.91915,17.57615,17.26721,17.1718,19.52765,19.17622,18.74131,17.84249,17.52055,17.22505,17.14191,2.537705,0.03301651,0.007792124,0.008423904,0.009390529,0.02597556,0.1113328,0.07009992,0.02136032,19.2797,9.754539,AIS,3
