plate,mjd,fiberid
1020,52721,300
1021,52460,26
1021,52460,121
1021,52460,174
1021,52460,611
1022,52524,335
1022,52524,501
1023,52818,95
1023,52818,116
1023,52818,117
1023,52818,201
1023,52818,331
1023,52818,540
1024,52826,118
1024,52826,312
1024,52826,528
1025,53239,81
1025,53239,91
1025,53239,383
1026,52558,4
1026,52558,44
1026,52558,71
1026,52558,146
1027,52557,32
1027,52557,53
1027,52557,188
1027,52557,264
1027,52557,287
1028,52562,32
1028,52562,197
1028,52562,396
1028,52562,410
1028,52562,458
1028,52562,523
1028,52562,539
1028,52562,564
1028,52562,593
1029,52912,7
1029,52912,160
1029,52912,181
1029,52912,415
1029,52912,449
1029,52912,523
1029,52912,542
1029,52912,591
1030,52914,18
1030,52914,38
1030,52914,48
1030,52914,60
1030,52914,115
1030,52914,129
1030,52914,170
1030,52914,233
1030,52914,237
1030,52914,240
1030,52914,279
1031,53172,462
1031,53172,537
1032,53175,354
1032,53175,399
1032,53175,404
1032,53175,620
1033,52822,4
1033,52822,30
1033,52822,157
1033,52822,344
1033,52822,358
1033,52822,585
1033,52822,613
1033,52822,626
1034,52525,343
1034,52525,496
1034,52525,559
1036,52582,605
1037,52826,34
1037,52826,68
1037,52826,90
1037,52826,442
1037,52826,559
1037,52826,584
1037,52826,600
1037,52826,623
1037,52826,628
1039,52707,166
1042,52725,203
1046,52460,109
1048,52736,532
1051,52468,476
1052,52466,115
1052,52466,432
1055,52761,438
1056,52764,153
1060,52636,284
1064,52577,273
1066,52589,95
1068,52614,144
1068,52614,373
1072,52643,224
1072,52643,502
1072,52643,616
1074,52937,107
1074,52937,156
1074,52937,282
1074,52937,375
1075,52933,90
1076,52914,203
1077,52644,85
1080,52614,536
1081,52531,396
1082,52523,95
1082,52523,254
1082,52523,497
1082,52523,550
1085,52531,427
1085,52531,561
1086,52525,195
1086,52525,284
1086,52525,298
1087,52930,183
1087,52930,293
1089,52913,116
1089,52913,186
1089,52913,198
1089,52913,382
1089,52913,536
1089,52913,622
1090,52903,405
1091,52902,461
1093,52591,223
1096,52974,367
1096,52974,481
1106,52912,222
1106,52912,347
1107,52968,234
1115,52914,173
1158,52668,547
1158,52668,607
1159,52669,151
1159,52669,159
1159,52669,361
1163,52669,529
1167,52738,544
1168,52731,20
1168,52731,574
1169,52753,54
1170,52756,245
1170,52756,538
1170,52756,609
1171,52753,405
1172,52759,134
1174,52782,290
1175,52791,208
1177,52824,113
1177,52824,591
1178,52825,3
1178,52825,92
1178,52825,480
1178,52825,607
1189,52668,43
1194,52703,260
1194,52703,353
1194,52703,429
1195,52724,60
1195,52724,250
1196,52733,574
1197,52668,42
1197,52668,71
1198,52669,564
1199,52703,599
1202,52672,41
1204,52669,316
1205,52670,433
1207,52672,414
1210,52701,146
1210,52701,390
1212,52703,487
1213,52972,331
1213,52972,374
1217,52672,271
1220,52723,596
1223,52781,517
1224,52765,336
1226,52734,195
1227,52733,444
1227,52733,611
1230,52672,81
1230,52672,82
1230,52672,246
1230,52672,518
1231,52725,31
1232,52731,317
1233,52734,47
1234,52724,308
1235,52734,632
1236,52751,251
1237,52762,429
1237,52762,536
1238,52761,409
1242,52901,176
1242,52901,540
1243,52930,223
1243,52930,447
1264,52707,266
1266,52709,37
1267,52932,76
